"count","Sample_Barcode","Condition"
1545.924287276,"TCGA-HU-A4H3","Donor_wo"
1112.24943183014,"TCGA-CD-8528","Donor_wo"
3010.49855301372,"TCGA-BR-8367","Donor_wo"
6340.28572242928,"TCGA-3M-AB47","Donor_wo"
2594.60051526355,"TCGA-VQ-AA68","Donor_wo"
3773.85448559503,"TCGA-BR-8372","Donor_wo"
1727.04873765828,"TCGA-BR-8679","Donor_wo"
2724.55287863058,"TCGA-D7-8573","Donor_wo"
2202.10875640275,"TCGA-CG-4440","Donor_wo"
3140.24649378619,"TCGA-D7-A4YU","Donor_wo"
3015.87027274052,"TCGA-BR-8687","Donor_wo"
4416.32379445517,"TCGA-D7-8575","Donor_wo"
2650.79079593968,"TCGA-B7-A5TI","Donor_wo"
1760.12424681413,"TCGA-BR-6801","Donor_wo"
1620.95605044413,"TCGA-D7-A747","Donor_wo"
1450.92651443944,"TCGA-BR-8289","Donor_wo"
3831.40948090229,"TCGA-CG-4437","Donor_wo"
2656.11811203823,"TCGA-VQ-A91Y","Donor_wo"
3814.72674374378,"TCGA-HU-A4G3","Donor_wo"
6206.43094398167,"TCGA-BR-6710","Donor_wo"
2827.89890143136,"TCGA-VQ-AA64","Donor_wo"
1702.27832311874,"TCGA-FP-8631","Donor_wo"
1583.22476043424,"TCGA-VQ-AA6A","Donor_wo"
1969.72700229564,"TCGA-VQ-AA6F","Donor_wo"
4765.72806916321,"TCGA-D7-A6EY","Donor_wo"
2083.02711248531,"TCGA-D7-8574","Donor_wo"
2326.92612017178,"TCGA-BR-6454","Donor_wo"
2072.42382941181,"TCGA-D7-6527","Donor_wo"
1568.52707706981,"TCGA-CD-A4MH","Donor_wo"
3059.83986936907,"TCGA-BR-7196","Donor_wo"
1491.00135029567,"TCGA-IN-A6RJ","Donor_wo"
2335.02487210151,"TCGA-BR-4357","Donor_wo"
2612.82011311782,"TCGA-D7-8578","Donor_wo"
1560.91905755869,"TCGA-MX-A663","Donor_wo"
3550.84361313674,"TCGA-HU-A4H6","Donor_wo"
1889.91641167312,"TCGA-BR-8485","Donor_wo"
3303.31380508135,"TCGA-BR-6456","Donor_wo"
2522.50220766805,"TCGA-IN-A6RS","Donor_wo"
4429.61811789106,"TCGA-F1-A72C","Donor_wo"
5731.55222384424,"TCGA-BR-4279","Donor_wo"
1797.92034558927,"TCGA-D7-A6F0","Donor_wo"
2283.27653713955,"TCGA-VQ-A8DZ","Donor_wo"
2597.67616279722,"TCGA-BR-7957","Donor_wo"
4253.50733286796,"TCGA-HU-8244","Donor_wo"
5805.57333390837,"TCGA-VQ-A924","Donor_wo"
2079.15990216089,"TCGA-VQ-A92D","Donor_wo"
3467.60314145108,"TCGA-D7-8570","Donor_wo"
2854.38149993753,"TCGA-D7-8579","Donor_wo"
4845.64123555993,"TCGA-D7-A74A","Donor_wo"
3910.2018682791,"TCGA-BR-7958","Donor_wo"
2840.56711540937,"TCGA-IN-7806","Donor_wo"
3249.97282539334,"TCGA-BR-4371","Donor_wo"
3193.59281289928,"TCGA-HU-A4H2","Donor_wo"
3402.74281942099,"TCGA-CD-5801","Donor_wo"
1242.70210193384,"TCGA-BR-A4IV","Donor_wo"
2097.09692670834,"TCGA-BR-8077","Donor_wo"
3301.30166713812,"TCGA-BR-4256","Donor_wo"
2385.36985474417,"TCGA-VQ-A8PK","Donor_wo"
3237.96548083716,"TCGA-D7-6519","Donor_wo"
5761.11097522299,"TCGA-VQ-A925","Donor_wo"
1160.29557441726,"TCGA-BR-A4CR","Donor_wo"
2373.69492045612,"TCGA-BR-A4CS","Donor_wo"
2973.66484118765,"TCGA-IN-AB1X","Donor_wo"
5838.97271870662,"TCGA-CG-5720","Donor_wo"
4053.14907589239,"TCGA-CD-5804","Donor_wo"
3229.60692276043,"TCGA-BR-8682","Donor_wo"
803.748316146297,"TCGA-BR-A4J9","Donor_wo"
1553.61404175372,"TCGA-VQ-A94T","Donor_wo"
1981.70323650467,"TCGA-VQ-A8PE","Donor_wo"
4246.40369200785,"TCGA-HF-7134","Donor_wo"
1985.49497584636,"TCGA-BR-8683","Donor_wo"
3038.73815046404,"TCGA-D7-6524","Donor_wo"
4046.76131056022,"TCGA-RD-A8N1","Donor_wo"
3434.2954433864,"TCGA-BR-7716","Donor_wo"
1615.18459993482,"TCGA-CD-8531","Donor_wo"
2803.57247751274,"TCGA-VQ-A91Q","Donor_wo"
3126.82495001264,"TCGA-VQ-A928","Donor_wo"
2160.16774564265,"TCGA-BR-8361","Donor_w"
7045.52831467322,"TCGA-VQ-A91N","Donor_wo"
3658.79281605345,"TCGA-HU-A4GQ","Donor_wo"
1476.54353968552,"TCGA-D7-8572","Donor_wo"
2634.12727035095,"TCGA-RD-A8N9","Donor_wo"
1503.90197264676,"TCGA-HU-A4GD","Donor_wo"
1346.480849424,"TCGA-HU-8604","Donor_wo"
2833.44046858131,"TCGA-BR-4267","Donor_wo"
3419.71527016706,"TCGA-VQ-AA69","Donor_wo"
1449.41325744051,"TCGA-BR-7717","Donor_wo"
6187.27247470914,"TCGA-HU-A4G9","Donor_wo"
1910.2206250601,"TCGA-SW-A7EB","Donor_wo"
