"group","freg","mean","sd","GO"
"All",-37,0.0211488557580467,0.0451840515116763,"GO:0016255"
"All",-36,0.0212254256840798,0.0451691622735114,"GO:0016255"
"All",-35,0.0212194198450947,0.0451635277041217,"GO:0016255"
"All",-34,0.0213454006950276,0.0451763069166778,"GO:0016255"
"All",-33,0.0214145301016555,0.0453014233749472,"GO:0016255"
"All",-32,0.0214179145799687,0.0452474590842468,"GO:0016255"
"All",-31,0.0212991415043366,0.0449489832515887,"GO:0016255"
"All",-30,0.0214717666093912,0.0452842123216388,"GO:0016255"
"All",-29,0.0215921466607364,0.0454601842272408,"GO:0016255"
"All",-28,0.0216214769622522,0.0456325863445763,"GO:0016255"
"All",-27,0.021536322585848,0.0455437507709511,"GO:0016255"
"All",-26,0.0214902073523731,0.0453063491491087,"GO:0016255"
"All",-25,0.0216264142751829,0.0456906559939844,"GO:0016255"
"All",-24,0.0217698071869172,0.0455539333657094,"GO:0016255"
"All",-23,0.0218413041263699,0.0455974981056138,"GO:0016255"
"All",-22,0.0220498457862046,0.0454119444859104,"GO:0016255"
"All",-21,0.0222274922592117,0.0458322102918439,"GO:0016255"
"All",-20,0.022363008130839,0.0462093630241072,"GO:0016255"
"All",-19,0.0223831939245982,0.0462051634595588,"GO:0016255"
"All",-18,0.0223220898004961,0.0462646473412234,"GO:0016255"
"All",-17,0.0224147535612354,0.0463355006473881,"GO:0016255"
"All",-16,0.0225468764140079,0.0466568136680752,"GO:0016255"
"All",-15,0.0227919060020516,0.0466814825567,"GO:0016255"
"All",-14,0.0227058779838424,0.0465386405188756,"GO:0016255"
"All",-13,0.0227154174232198,0.0467139044751007,"GO:0016255"
"All",-12,0.0225330084987276,0.0466865697273249,"GO:0016255"
"All",-11,0.0225980842310936,0.04689405747113,"GO:0016255"
"All",-10,0.0227896320068873,0.0470614359570016,"GO:0016255"
"All",-9,0.0229028779998376,0.0472789731341694,"GO:0016255"
"All",-8,0.0230884727329494,0.0472681785923245,"GO:0016255"
"All",-7,0.0232762723977086,0.047517564003622,"GO:0016255"
"All",-6,0.0236086268618144,0.0480034686360942,"GO:0016255"
"All",-5,0.0236646811909281,0.0478911605405052,"GO:0016255"
"All",-4,0.0238866445677642,0.048250752417416,"GO:0016255"
"All",-3,0.0241064043079664,0.0483627721848201,"GO:0016255"
"All",-2,0.0240179609545613,0.0482959159332502,"GO:0016255"
"All",-1,0.0233883009957498,0.0474146222367683,"GO:0016255"
"GO",-100,0.0651162790697674,0.0482242822170412,"GO:0016255"
"GO",-99,0.0651162790697674,0.0482242822170412,"GO:0016255"
"GO",-98,0.0651162790697674,0.0482242822170412,"GO:0016255"
"GO",-97,0.0651162790697674,0.0482242822170412,"GO:0016255"
